Date,VisTeam,VisRushingYards,VisRushingAttempts,VisPassingYards,VisPassingAttempts,VisPassingCompletions,VisPenalties,VisPenaltyYards,VisFumblesLost,VisInterceptionsThrown,Vis1stDowns,Vis3rdDownAttempts,Vis3rdDownConversions,Vis4thDownAttempts,Vis4thDownConversions,VisTimeofPossession,VisScore,HomeTeam,HomeRushingYards,HomeRushingAttempts,HomePassingYards,HomePassingAttempts,HomePassingCompletions,HomePenalties,HomePenaltyYards,HomeFumblesLost,HomeInterceptionsThrown,Home1stDowns,Home3rdDownAttempts,Home3rdDownConversions,Home4thDownAttempts,Home4thDownConversions,HomeTimeofPossession,HomeScore,Winner,WinnerTag
9/3/2017,Howard,309,61,140,26,15,10,96,0,1,21,20,10,4,2,1950,43,UNLV,344,46,220,21,11,13,90,3,0,25,11,4,0,0,1650,40,Howard,#N/A
9/3/2017,Montana State,115,32,28,12,5,4,23,0,1,7,11,1,2,2,1612,0,Washington St,150,25,361,48,40,4,32,1,0,27,14,10,0,0,1988,31,Washington St,#N/A
9/5/2017,Tennessee,148,22,221,37,20,2,20,0,0,18,12,5,1,0,1113,42,Georgia Tech,535,86,120,10,5,4,37,2,0,33,18,13,0,0,2487,41,Tennessee,UT42983
9/8/2017,Alcorn State,78,25,191,34,22,9,81,0,0,12,15,8,1,0,1636,10,FIU,137,40,328,33,21,5,30,1,0,26,16,10,1,0,1964,17,FIU,FIU42986
9/8/2017,Idaho State,113,38,190,31,17,6,46,0,2,15,14,3,1,0,1700,13,Utah State,255,49,341,32,27,9,48,1,1,30,12,6,0,0,1900,51,Utah State,UTSU42986
9/9/2017,Buffalo,119,23,193,16,9,3,25,2,0,11,8,3,0,0,1545,17,Army,322,66,17,8,2,5,44,0,0,19,16,7,4,3,2055,21,Army,ARMY42987
9/9/2017,UAB,336,49,168,24,15,9,81,2,0,24,13,7,2,0,1522,31,Ball State,160,44,217,35,23,4,36,0,0,24,17,11,1,0,2078,51,Ball State,BALL42987
9/9/2017,Fresno State,58,22,216,41,26,1,6,0,1,18,11,3,0,0,1758,10,Alabama,305,39,192,27,20,4,30,0,0,28,10,4,1,1,1842,41,Alabama,BAMA42987
9/9/2017,Weber State,140,38,431,45,25,6,50,3,0,24,17,9,4,1,2113,20,Cal,231,34,200,28,20,6,34,1,0,19,13,4,2,2,1487,33,Cal,CAL42987
9/9/2017,Central Michigan,123,35,467,37,28,9,80,1,0,26,13,4,2,2,1845,45,Kansas,147,34,323,62,32,9,65,0,2,29,18,5,5,4,1755,27,Central Michigan,CMU42987
9/9/2017,Texas State,156,47,127,18,8,2,16,1,1,12,15,2,1,0,2005,3,Colorado,91,41,339,36,23,5,35,0,0,21,15,4,2,1,1595,37,Colorado,COL42987
9/9/2017,Abil Christian,62,26,271,45,26,6,55,0,2,18,16,5,3,0,1730,10,Colorado State,268,38,337,40,25,8,88,1,1,30,10,5,1,0,1870,38,Colorado State,CSU42987
9/9/2017,Auburn,38,42,79,24,13,5,43,0,0,13,18,6,2,1,1945,6,Clemson,99,36,185,31,20,8,60,2,0,18,16,9,0,0,1655,14,Clemson,CU42987
9/9/2017,Northwestern,22,21,169,33,14,3,26,1,2,15,10,1,0,0,1122,17,Duke,233,59,305,45,29,8,55,1,1,34,22,15,0,0,2478,41,Duke,DUKE42987
9/9/2017,Eastern Michican,114,35,260,37,19,9,93,1,0,19,17,4,2,2,1777,16,Rutgers,128,30,198,38,17,9,88,0,2,15,16,4,0,0,1823,13,Eastern Michican,EMU42987
9/9/2017,Jacksonville St,116,38,73,14,8,5,53,1,2,14,9,3,0,0,1707,10,Georgia Tech,210,49,112,7,5,8,70,0,0,17,12,5,1,0,1893,37,Georgia Tech,GT42987
9/9/2017,Iowa,164,41,333,41,27,10,84,0,0,29,15,7,0,0,2227,44,Iowa State,120,26,347,46,25,2,15,0,1,22,14,4,2,2,1373,41,Iowa,IOWA42987
9/9/2017,Indiana,121,41,197,30,19,7,78,0,1,19,15,4,2,1,1507,34,UVA,55,25,259,66,39,5,26,0,0,22,24,10,3,1,2093,17,Indiana,IU42987
9/9/2017,Howard,206,48,226,23,10,13,114,1,1,19,13,3,3,2,1576,31,Kent State,294,53,105,16,8,13,132,2,0,17,15,8,1,0,2024,38,Kent State,KENT42987
9/9/2017,Charlotte,115,28,58,25,10,7,50,1,2,10,15,4,0,0,1434,7,Kansas State,304,51,189,23,17,5,44,0,0,28,9,4,0,0,2166,55,Kansas State,KSU42987
9/9/2017,Louisville,312,44,393,39,25,6,61,0,0,35,15,9,3,1,2156,47,UNC,17,23,384,38,29,5,50,0,0,20,10,3,3,1,1444,35,Louisville,LOU42987
9/9/2017,Chattanooga,68,27,174,32,15,4,10,0,2,12,14,3,3,1,1648,10,LSU,222,46,232,18,9,11,74,0,0,22,12,5,1,1,1952,45,LSU,LSU42987
9/9/2017,Towson,99,36,210,36,21,5,39,0,2,17,18,9,1,0,2297,17,Maryland,367,36,167,18,14,5,55,0,0,23,6,2,2,1,1303,63,Maryland,MARY42987
9/9/2017,Cincinnati,68,30,132,40,15,4,30,0,2,13,19,6,1,0,1773,14,Michigan,193,37,221,29,17,7,68,2,0,16,15,5,1,1,1827,36,Michigan,MICH42987
9/9/2017,Austin Peay,160,37,110,18,11,6,49,2,1,12,13,5,3,0,1469,10,Miami-OH,138,51,145,22,11,3,20,3,0,18,17,8,4,3,2131,31,Miami-OH,MIOH42987
9/9/2017,W Michigan,116,36,79,27,12,3,20,0,1,11,15,1,5,3,1630,14,Michigan State,296,49,161,21,13,3,30,1,1,21,15,7,1,1,1970,28,Michigan State,MSU42987
9/9/2017,Tulane,191,46,71,13,8,7,41,0,0,11,14,3,4,2,1777,21,Navy,194,52,132,12,4,0,0,1,1,15,15,6,2,1,1823,23,Navy,NAVY42987
9/9/2017,Old Dominion,197,48,169,29,13,5,32,0,0,19,19,9,2,0,1975,17,UMass,79,36,253,37,22,3,40,0,0,20,19,8,3,1,1625,7,Old Dominion,OD42987
9/9/2017,Oklahoma State,163,37,342,41,26,4,25,0,0,29,16,7,2,2,1804,44,South Alabama,41,27,134,24,14,3,40,1,1,12,10,1,1,1,1796,7,Oklahoma State,OKST42987
9/9/2017,UT Martin,219,44,115,17,10,7,47,0,1,14,13,5,1,1,2227,23,Ole Miss,54,18,489,43,32,7,62,0,1,24,10,6,0,0,1373,45,Ole Miss,OLE42987
9/9/2017,Nebraska,109,29,252,41,19,3,25,0,4,19,14,2,2,2,1762,35,Oregon,201,44,365,33,25,12,103,1,1,22,14,7,1,0,1838,42,Oregon,ORG42987
9/9/2017,Oklahoma,104,37,386,35,27,3,26,2,0,27,11,4,3,1,2117,31,OSU,167,34,183,35,19,9,87,0,1,21,15,7,1,0,1483,16,Oklahoma,OU42987
9/9/2017,Pitt,155,45,187,41,24,6,55,1,2,24,17,5,4,3,2300,14,Penn State,148,24,164,28,15,1,15,0,1,14,12,4,0,0,1300,33,Penn State,PSU42987
9/9/2017,Ohio,160,38,236,29,17,3,30,2,0,22,14,5,2,1,1688,21,Purdue,263,44,295,23,15,4,45,0,0,25,10,3,1,1,1912,44,Purdue,PUR42987
9/9/2017,North Texas,69,27,424,47,32,7,58,1,2,22,15,6,3,1,1922,32,SMU,99,34,394,41,22,4,50,0,1,20,18,9,1,1,1678,54,SMU,SMU42987
9/9/2017,South Carolina,172,40,187,28,18,4,29,0,0,20,15,8,0,0,2256,31,Missouri,178,37,245,32,14,4,24,1,2,21,14,5,2,1,1344,13,South Carolina,SUCK42987
9/9/2017,Nicholls,74,31,264,25,13,7,54,1,1,13,12,3,1,1,1520,14,Texas A&M,195,47,198,36,24,4,45,0,0,27,19,10,1,1,2080,24,Texas A&M,TAMU42987
9/9/2017,TCU,195,42,166,31,21,6,60,1,1,24,14,10,0,0,2032,28,Arkansas,129,31,138,23,9,5,49,1,0,13,14,4,2,1,1568,7,TCU,TCU42987
9/9/2017,Villanova,20,30,382,41,27,5,35,1,0,19,17,9,2,0,2044,13,Temple,79,27,274,34,20,8,59,0,0,17,14,5,0,0,1556,16,Temple,TEM42987
9/9/2017,San Jose State,42,23,129,29,15,7,49,1,1,8,12,2,2,0,1261,0,Texas,406,59,217,29,16,6,68,0,0,32,15,10,1,1,2339,56,Texas,TEX42987
9/9/2017,Toledo,194,60,232,27,19,14,110,0,0,28,15,7,1,0,2414,37,Nevada,109,24,277,37,19,9,75,1,1,22,13,5,3,1,1186,24,Toledo,TOL42987
9/9/2017,Alabama St.,85,32,80,28,15,10,74,0,0,14,16,4,2,1,1893,7,Troy,251,35,354,42,33,10,110,0,1,32,11,6,1,0,1707,34,Troy,TROY42987
9/9/2017,LA-Lafayette,287,41,309,34,21,7,64,0,2,27,12,7,3,1,1648,42,Tulsa,424,72,243,20,14,5,46,1,0,33,15,8,3,3,1952,66,Tulsa,TULS42987
9/9/2017,Hawaii,281,42,234,39,24,8,80,0,1,25,16,8,3,0,2165,23,UCLA,132,26,373,29,24,10,83,0,0,25,9,7,0,0,1435,56,UCLA,UCLA42987
9/9/2017,Georgia,185,43,141,29,16,12,126,1,1,16,18,4,0,0,1962,20,Notre Dame,55,37,211,39,19,8,63,2,0,18,17,3,1,1,1638,19,Georgia,UGA42987
9/9/2017,E Kentucky,62,20,256,43,31,11,90,1,1,17,14,6,1,1,1712,16,Kentucky,207,39,229,24,16,6,60,0,0,22,13,6,1,0,1888,27,Kentucky,UK42987
9/9/2017,UNLV,357,50,193,16,10,5,47,0,1,22,12,5,2,2,1855,44,Idaho,123,36,261,34,22,4,40,0,1,18,15,5,4,2,1745,16,UNLV,UNLV42987
9/9/2017,Southern,62,26,78,26,10,8,68,1,2,7,12,0,1,0,1462,0,Southern Miss,197,44,280,32,20,5,35,2,0,27,13,6,1,0,2138,45,Southern Miss,USM42987
